,index,th,x,y
0,1,0.0,0.0,0.0
1,2,-5.374502717078493e-05,0.0042978952049360164,0.00177895013615489
2,3,-2.7149515026400573e-05,0.008632261893019353,0.0018124900795991013
3,4,-7.388089980195658e-05,0.01300297789567753,0.0018277439481156027
4,5,-0.00014002895684285755,0.017409921099719363,0.0018427570528788187
5,6,-0.0002242925568296585,0.021852969466694884,0.001857085730354537
6,7,-0.0003264747379904606,0.026332000997678393,0.0018706323162073551
7,8,-0.0004467004464044454,0.030846893242350657,0.0018845230389942555
8,9,-0.0005841149364144997,0.03539752367259428,0.00189892013785679
9,10,-0.0007384461638871031,0.03998377318248112,0.0019086619509187496
10,11,-0.0009094117811176707,0.0446055142525659,0.0019222750753611732
11,12,-0.0010960115125531005,0.04926263058619618,0.0019317528180551624
12,13,-0.0012994319060881904,0.053954994485379784,0.0019430740570152158
13,14,-0.0015175948179393672,0.05868248821772871,0.0019519489100248203
14,15,-0.0017514651941891474,0.06344498765100881,0.001960058916448552
15,16,-0.001999740758353348,0.06824237472685908,0.001965082841154577
16,17,-0.0022615911310635726,0.07307452124630591,0.00197041441897817
17,18,-0.0025403790439112116,0.07794130859487926,0.001974043374921698
18,19,-0.002830278580675872,0.08284261019916675,0.0019776306380839314
19,20,-0.0031355886350740783,0.08777830913711764,0.001978969659908909
20,21,-0.00345418346781524,0.09274828312081937,0.0019782187954752914
21,22,-0.003785683227062617,0.09775241185521971,0.001974921732317298
22,23,-0.004130507957991604,0.10279056593938954,0.0019710264634077873
23,24,-0.004487056915663532,0.10786262503088423,0.0019657617256569554
24,25,-0.004856627287458789,0.11296847387818201,0.001957471614114183
25,26,-0.0052378912954049285,0.11810799802896886,0.0019448001248345262
26,27,-0.005632340568624616,0.12328104082887376,0.0019344430873493754
27,28,-0.006038070033113047,0.12848751161577868,0.0019200878853849951
28,29,-0.006456258282004643,0.1337272882139224,0.0019019957623315788
29,30,-0.006884896967548771,0.1390002287864657,0.001883276818392636
30,31,-0.007325138779683863,0.14430622708047275,0.0018613155932269824
31,32,-0.007776756074116376,0.14964516616460263,0.001835475852966016
32,33,-0.008239098717289969,0.15501689595186552,0.0018093560580101369
33,34,-0.008712083098832705,0.1604213235302441,0.0017790663148503684
34,35,-0.009194135559805049,0.16585830326353726,0.0017473482872629774
35,36,-0.009688875361422771,0.17132773555460926,0.0017115330433850758
36,37,-0.010193251474312607,0.17682947822424136,0.0016737089410190334
37,38,-0.010708478491544965,0.18236345484071284,0.0016293050611498661
38,39,-0.011233438962944493,0.1879294720408568,0.001585171258892736
39,40,-0.011767627560157331,0.19352746105895724,0.0015361454704750917
40,41,-0.012310862712998067,0.1991572704467957,0.0014847744016094613
41,42,-0.012865163662354621,0.2048187948972066,0.0014295137235420668
42,43,-0.013428363132466651,0.21051191422248777,0.0013701856551791905
43,44,-0.014000743624325428,0.2162365146728044,0.0013061626381607697
44,45,-0.0145840090995643,0.22199241989220386,0.0012412592734463046
45,46,-0.015174710728727213,0.22777957592461576,0.001170504363318827
46,47,-0.015773266710112897,0.23359782042743055,0.0010966287340271768
47,48,-0.016382419879754882,0.23944704370690542,0.0010186921340734729
48,49,-0.016999713187391238,0.2453271131004041,0.000937244999608168
49,50,-0.017626088910818988,0.2512379303040191,0.0008507731285157718
50,51,-0.018261121533094744,0.2571793583944241,0.000760101114055389
51,52,-0.01890446644015196,0.2631512886458266,0.0006644215623585724
52,53,-0.0195565141196318,0.2691535781779289,0.0005647903472411149
53,54,-0.020216193500493196,0.2751861239482639,0.00046012167564174694
54,55,-0.0208855052025469,0.28124874565828883,0.00035319751341862096
55,56,-0.02156280712209886,0.28734139379979334,0.00024030647564059074
56,57,-0.022247082854064397,0.29346395396594316,0.00012112955917012013
57,58,-0.022939172312369364,0.29961621123151044,-1.9363380186201637e-07
58,59,-0.02364033843218859,0.30579818017789573,-0.00012983273116968022
59,60,-0.024348668465440794,0.31200962130721843,-0.0002627102236118016
60,61,-0.025064946999001,0.3182504928201723,-0.00040230162638271944
61,62,-0.025789026098691183,0.3245205751146031,-0.0005447416870378629
62,63,-0.026520261440847362,0.3308198358314333,-0.0006937285238746414
63,64,-0.027260160591455234,0.3371481196626757,-0.0008480179482192049
64,65,-0.028007397829128207,0.34350518134447455,-0.0010032653881273863
65,66,-0.028761179039206795,0.3498912056470382,-0.0011706801181348451
66,67,-0.029521927110282762,0.35630592315429865,-0.001344803936581269
67,68,-0.03029125072239294,0.36274901173502333,-0.0015189801083173794
68,69,-0.031067535582419325,0.36922061058610883,-0.0017022034259721835
69,70,-0.031852066718380694,0.375720487462774,-0.001890836092253042
70,71,-0.03264077183231136,0.3822485354877291,-0.0020854711241590977
71,72,-0.033439083129138555,0.38880465022255717,-0.0022867271757484103
72,73,-0.034244146639092074,0.39538864921367867,-0.0024928765166657035
73,74,-0.03505600752697898,0.40200047551911333,-0.002705967890377249
74,75,-0.03587514864863659,0.4086399883057366,-0.002925515247138115
75,76,-0.03670102613199773,0.4153071456312623,-0.00315379828210583
76,77,-0.03753309751745285,0.42200155871449724,-0.0033835923475121817
77,78,-0.038372473039017245,0.42872341034960787,-0.0036233163957628133
78,79,-0.03921898683171775,0.435472403444956,-0.003868348886621915
79,80,-0.040072817058343944,0.4422484842996782,-0.004120584106859362
80,81,-0.04093224257270222,0.4490515590634521,-0.004380777473573542
81,82,-0.04179893957157377,0.4558814377533744,-0.004647312964254172
82,83,-0.04267178132460991,0.46273802756106963,-0.004921005971746882
83,84,-0.043551729787819064,0.46962117412711707,-0.005201190873203709
84,85,-0.04443747359697464,0.4765308349624733,-0.005489795785972661
85,86,-0.04533159711902562,0.4834669305372635,-0.005787781314233272
86,87,-0.046231046389855306,0.49042896722612744,-0.006087026664693438
87,88,-0.04713603998121113,0.497417310878246,-0.0063983872147897695
88,89,-0.04804904079399789,0.5044316328987593,-0.0067173627393996745
89,90,-0.04896874273666151,0.5114717117998421,-0.007041995525391841
90,91,-0.049892594415114865,0.5185375393138874,-0.0073747782018015896
91,92,-0.05082639545640399,0.5256291246888887,-0.007718374106033082
92,93,-0.05176317205734679,0.5327460718624966,-0.008067385538566587
93,94,-0.05270754171507118,0.539888271044619,-0.00842226843869447
94,95,-0.05365779794535594,0.5470558343327444,-0.008787611229344697
95,96,-0.054616005120717556,0.5542486310735211,-0.009163218869701718
96,97,-0.05557961722394604,0.5614663857989491,-0.009546295608476491
97,98,-0.05654599558921898,0.5687091339975485,-0.009939769348980235
98,99,-0.057524279689577455,0.5759762268244651,-0.010334420459189158
99,100,-0.058507096586262644,0.5832680748014617,-0.010739849487261758
100,101,-0.059495237233377254,0.5905845087694949,-0.011155237055899186
101,102,-0.06048846515302806,0.5979254997392727,-0.01158215017886488
102,103,-0.06149022112111329,0.6052905126646609,-0.012013791486903479
103,104,-0.062496313169294826,0.612679753862139,-0.012455722394460092
104,105,-0.0635098719160283,0.6200930336133131,-0.012906892969898774
105,106,-0.06452873197659445,0.6275303927962923,-0.013369913189434354
106,107,-0.0655532211912086,0.6349914617329488,-0.013840945682123428
107,108,-0.06658332532555891,0.6424760673222993,-0.01431936013270397
108,109,-0.06762027706206805,0.6499841555313857,-0.014806338776219868
109,110,-0.06866381417221568,0.6575157341242854,-0.015303901274790008
110,111,-0.06971417354922482,0.6650705980740367,-0.015810887039523207
111,112,-0.0707679473173714,0.6726488258348561,-0.01633022982217174
112,113,-0.07182920585863486,0.6802497995060377,-0.016854965899699682
113,114,-0.07289588220279505,0.6878737385851471,-0.017390071951695726
114,115,-0.07396871406665843,0.6955208128010085,-0.01793956612544063
115,116,-0.07504996640630889,0.7031902915687245,-0.018495204244965483
116,117,-0.07613414662751636,0.7108822273897593,-0.01905953536580304
117,118,-0.07722542132269299,0.7185970530200804,-0.019639908857974786
118,119,-0.07832322173825348,0.726333749285554,-0.020224673879398868
119,120,-0.07942560871716453,0.7340926960184125,-0.020820496389193165
120,121,-0.08053488094379864,0.7418738848891766,-0.021428847356722677
121,122,-0.08165022188817629,0.7496768630780893,-0.02204566339148171
122,123,-0.08277106474929263,0.7575017881692307,-0.022674499487777926
123,124,-0.08389796484082644,0.7653483530313501,-0.023313171615778016
124,125,-0.08503079247738556,0.7732167313922922,-0.023965285017136836
125,126,-0.08616935610492492,0.7811061337799664,-0.02462305565609782
126,127,-0.08731390080348965,0.7890171286554888,-0.02529469871549211
127,128,-0.08846386199965971,0.7969497052164677,-0.02598144455571563
128,129,-0.08962079421367113,0.8049027404073675,-0.02667202912449462
129,130,-0.09078326130758471,0.8128770692634676,-0.027377379380323977
130,131,-0.09195082456989548,0.8208722017041292,-0.028093435046900657
131,132,-0.09312553824249205,0.8288879583343365,-0.028819686649191403
132,133,-0.09430515729280302,0.8369245601930433,-0.029559907253409592
133,134,-0.09549192367291667,0.844981663326706,-0.030311761182555387
134,135,-0.09668440318531502,0.8530588052805456,-0.031071805128947572
135,136,-0.09788147356835096,0.861156222085535,-0.03184391402098018
136,137,-0.09908487936119845,0.8692741644775699,-0.032631926929429345
137,138,-0.10029462066503514,0.8774120470258754,-0.03343115564185961
138,139,-0.10151019941537447,0.8855694687879084,-0.03423896009154871
139,140,-0.1027323018521912,0.8937469167867484,-0.03506148064398513
140,141,-0.1039586857931331,0.9019439140776416,-0.03589529263259066
141,142,-0.10519234375439183,0.910160608036225,-0.03674307433585726
142,143,-0.10643147039926265,0.9183963230242113,-0.037599647172661704
143,144,-0.10767662863609387,0.9266516522357624,-0.03847186408848266
144,145,-0.10892713540364278,0.9349258531898536,-0.03935400215120159
145,146,-0.11018324265357014,0.9432193874567912,-0.0402515324188389
146,147,-0.11144501569385265,0.9515313939534118,-0.0411578140283414
147,148,-0.11271507499705521,0.9598625845657466,-0.042080462706683044
148,149,-0.11398818976588995,0.9682121871725903,-0.04301374151172473
149,150,-0.11527209078629821,0.9765805151730718,-0.04396158620831138
150,151,-0.11655643807683479,0.9849671314040602,-0.044921326165395535
151,152,-0.11784790363571225,0.9933723372107356,-0.04589667428899822
152,153,-0.11914667907801904,1.0017951377711691,-0.04688031505278335
153,154,-0.12045152306055996,1.0102363521789846,-0.047880300353152355
154,155,-0.12176212920719613,1.0186954869503815,-0.048893569305280174
155,156,-0.12307825370890545,1.0271723821957253,-0.04991990328579199
156,157,-0.12439977763324529,1.0356674060117332,-0.05096333509309868
157,158,-0.1257274546872744,1.0441794530176864,-0.05201602746557282
158,159,-0.12706129105051892,1.0527091196133518,-0.05308384978455807
159,160,-0.1284025394170351,1.061256149695739,-0.05416580103644916
160,161,-0.12974740528251602,1.069820208462838,-0.05526032015963228
161,162,-0.13110013286903793,1.0784011732065597,-0.0563675292917179
162,163,-0.13245742663417542,1.0869992212958097,-0.057489809874832806
163,164,-0.1338217864517442,1.0956143625642158,-0.05862819994970342
164,165,-0.13519078960888556,1.1042460482130279,-0.05977957647330837
165,166,-0.13656849425453177,1.1128943628352665,-0.060945572583268964
166,167,-0.137951044873813,1.1215592139962411,-0.06212647926235615
167,168,-0.13933919738762726,1.1302406289930889,-0.06332343589949788
168,169,-0.1407338948586848,1.138937661270781,-0.06453064110344786
169,170,-0.14213346336031205,1.1476511554437954,-0.06575508952479273
170,171,-0.1435392825418784,1.1563807415132215,-0.06699506917805903
171,172,-0.14495217141645164,1.1651262392481672,-0.0682502430852317
172,173,-0.1463698957993459,1.1738870102098717,-0.06951717196113943
173,174,-0.14779377358303594,1.1826636861143014,-0.07080111522082516
174,175,-0.14922593292008496,1.1914557067388774,-0.0720991763438794
175,176,-0.15066114909271475,1.2002634689626888,-0.0734148998803154
176,177,-0.15210547637960958,1.2090863673104058,-0.07474513615042527
177,178,-0.15355425122932773,1.2179239971172147,-0.07608816092877689
178,179,-0.15500978941801005,1.226776860859762,-0.07744814404503014
179,180,-0.1564704187914544,1.2356447075058354,-0.07882430856996736
180,181,-0.15793801924950854,1.2445273535551125,-0.08021633530383138
181,182,-0.15941241448771046,1.2534242091315597,-0.08162138426615892
182,183,-0.16089124736626564,1.2623362624322791,-0.08304648053629125
183,184,-0.1623773329526692,1.2712626565711345,-0.08448709141582555
184,185,-0.16386862597313795,1.2802026912229112,-0.08593980457958374
185,186,-0.16536918806436435,1.2891574898211775,-0.08741230022066332
186,187,-0.16687373391151022,1.2981259059065082,-0.08889846075789297
187,188,-0.16838476758068352,1.3071084362816119,-0.09040209249841659
188,189,-0.1699025499705291,1.316104982036109,-0.09192338326184187
189,190,-0.17142466261159925,1.325114637675343,-0.0934578431153661
190,191,-0.17295554169737018,1.3341386042618466,-0.09501324345381827
191,192,-0.1744907126527092,1.3431749236985746,-0.09657910268414081
192,193,-0.17603330332689782,1.352225893298428,-0.09816931540310171
193,194,-0.17758158120149226,1.3612888614854333,-0.09976962450529042
194,195,-0.179135745607487,1.3703651823609206,-0.10138847049905692
195,196,-0.18069855086211806,1.379454594568985,-0.10302513015491199
196,197,-0.182265211406532,1.3885566428388862,-0.1046778530280739
197,198,-0.18383954111524084,1.3976717536663663,-0.10634970968201107
198,199,-0.18542049348080272,1.4067993202543574,-0.10803814118586871
199,200,-0.18700714672671603,1.4159392337353,-0.10974331968189398
200,201,-0.18859976314180518,1.425091587572861,-0.11146647778143455
201,202,-0.19019953982161625,1.4342557169416539,-0.11320485820936921
202,203,-0.19180661461928497,1.4434325772194743,-0.11496416961978068
