,angularVelocitySim,commandedAngularVelocity,commandedLinearVelocity,commandedWheelAngle,index,linearVelocitySim,vl,vl_c,vr,vr_c,wheelAngleSim
0,0.0,0.003192336138374787,0.08752121019363696,0.018235478414003112,1,0.0,0.0,0.15846198461404337,0.0,0.15979696154463646,1.5452449321746826
1,0.006240866400978782,0.6290858098155607,0.09233720465683204,1.2852582416858278,2,0.008803004026412964,0.09147167205810547,0.036349702778259184,0.06162405014038086,0.29942195051931186,1.5436418056488037
2,0.05052265253933993,0.5686859623561233,0.09684536934049053,1.2425259212918551,3,0.016436761617660525,0.26374340057373047,0.05717542485370243,0.022113323211669922,0.2949895545662631,1.540934681892395
3,0.04916420849886807,0.5136127995329318,0.10160964783069364,1.1940314387196767,4,0.01783961057662964,0.2726936340332031,0.07735304706255722,0.037560462951660156,0.29213658141269233,1.5373640060424805
4,0.03857532414523038,0.4640097070882696,0.10658813583010371,1.1401347387476914,5,0.013756638765335083,0.2118682861328125,0.09677639911809581,0.027377605438232422,0.29081682208228127,1.5349044799804688
5,0.03511316126043146,0.4196932120607825,0.11174480845073223,1.0814824793826656,6,0.021088385581970216,0.26734352111816406,0.11541834375225862,0.0994110107421875,0.290926414250404,1.5317195653915405
6,0.032629576596346764,0.38029749770572346,0.11704895509593657,1.0190103633967147,7,0.017744195461273194,0.23232460021972656,0.13329953247232432,0.07627010345458984,0.2923330315128996,1.5294007062911987
7,0.029446081681685013,0.34537219101758154,0.12247452210467233,0.9539011581973142,8,0.022156596183776855,0.2630805969238281,0.15046676388663718,0.12225151062011719,0.29489513467580764,1.5280704498291016
8,0.026762095364657314,0.3144440115193774,0.12799945367040896,0.8874975639189415,9,0.01791994571685791,0.21982192993164062,0.16697889517396464,0.09182929992675781,0.2984736636275225,1.5261377096176147
9,0.023828853260387074,0.2870528965489857,0.13360508032280063,0.821183094354509,10,0.02128744125366211,0.24209022521972656,0.18289817676303138,0.1281261444091797,0.3029384789562436,1.5242863893508911
10,0.024097550999034534,0.26277121486883326,0.1392755769781842,0.756255692056126,11,0.0224923312664032,0.25321006774902344,0.19828524957866978,0.13796091079711914,0.3081713939783637,1.5235165357589722
